Response
"
Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g)
Diablo Sauce Packet (V),0,0,0,0,0,0,35,0,0,0
Fire Sauce Packet (V),0,0,0,0,0,0,0,0,0,0
Hot Sauce Packet (V),0,0,0,0,0,0,0,0,0,0
Mild Sauce Packet (V),0,0,0,0,0,0,0,0,0,0
Pintos N Cheese (V),170,7,3,0,10,690,19,7,1,<1
"
"
Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g)
3-Cheese Chicken Flatbread Melt,330,15,6,0,50,760,29,2,4,<1
Black Bean Crunchwrap Supreme (V),520,18,5,0,5,1100,77,8,6,2
Cheesy Roll Up (V),180,9,6,0,20,430,17,1,1,<1
Crunchwrap Supreme,540,21,7,0,20,1210,73,6,6,2
Mexican Pizza,540,30,9,0,40,1010,48,7,4,<1
Stacker,400,18,9,0,40,1060,42,4,3,1
Veggie Mexican Pizza (V),470,25,7,0,20,760,46,6,3,<1
"
"
Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g)
""Black Bean Chalupa Supreme® (V)"",340,18,4,0,10,460,36,6,4,1
""Chalupa Supreme® - Beef"",360,20,6,0,25,570,31,4,4,1
""Chalupa Supreme® - Chicken"",340,17,4,0,35,580,29,3,4,1
""Chalupa Supreme® - Steak"",350,18,4.5,0,30,590,30,3,4,2
""Cheesy Gordita Crunch"",490,28,11,0,55,840,41,5,5,1
""Crunchy Taco"",170,10,4,0,25,300,13,3,<1,0
""Crunchy Taco Supreme®"",190,11,5,0,30,320,15,3,2,0
""Doritos® Cheesy Gordita Crunch - Nacho Cheese"",500,28,11,0,55,890,41,5,5,1
""Double Decker® Taco"",310,13,5,0,25,690,35,7,2,<1
""Double Decker® Taco Supreme®"",330,15,6,0,30,710,38,7,3,<1
""Double Stacked Taco"",320,16,5,0,25,600,34,4,2,<1
""Nacho Cheese Doritos® Locos Taco"",170,10,4,0,25,360,12,3,<1,0
""Nacho Cheese Doritos® Locos Taco Supreme®"",190,11,5,0,30,380,14,3,2,0
""Soft Taco - Beef"",180,8,4,0,25,490,18,3,1,<1
""Soft Taco - Chicken"",160,5,2.5,0,15,500,16,1,1,<1
""Soft Taco Supreme® - Beef"",210,10,5,0,30,510,20,3,2,<1
""Soft Taco Supreme® - Chicken"",190,7,3.5,0,20,520,18,2,2,<1
""Spicy Potato Soft Taco (V)"",240,12,3,0,10,470,28,2,1,1
"
"
Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g)
Bean Burrito,360,10,4.5,0,5,1080,54,8,3,2
Black Bean Chalupa Supreme®,340,18,4,0,10,460,36,6,4,<1
Black Bean Crunchwrap Supreme®,520,18,5,0,5,1100,77,8,6,2
Black Beans,50,1.5,0,0,0,140,7,4,0,0
Black Beans & Rice,160,4.5,0,0,0,370,25,5,<1,0
Cheese Quesadilla,470,24,13,0,5,1000,41,3,3,2
Cheesy Bean & Rice Burrito,420,17,4.5,0,<5,940,55,6,3,2
Cheesy Fiesta Potatoes,240,13,2,0,<5,520,28,3,1,0
Cheesy Roll Up,180,9,6,0,20,430,17,1,1,<1
Chips and Nacho Cheese Sauce,220,13,1.5,0,0,280,24,2,1,0
Cinnabon® Delights™ (2 Pack),170,11,3.5,0,5,70,15,<1,9,9
Cinnabon® Delights™ (12 Pack - Serves 4),1010,68,22,0,4,430,88,5,52,52
Cinnamon Twists,170,6,0.5,0,0,115,27,<1,10,10
Hash Brown,160,11,1,0,0,280,14,1,0,0
Pintos N Cheese,170,7,3,0,10,690,19,7,1,<1
Spicy Potato Soft Taco,240,12,3,0,0,470,28,2,1,<1
Veggie Mexican Pizza,470,25,7,0,20,760,46,6,3,<1
"
