Response
"
Menu Item,Serving Size (g),Calories,Fat Calories,Total Fat (g),Sat Fat (g),Trans Fat (g),Cholest (mg),Sodium (mg),Carb (g),Fiber (g),Sugar (g),Protein (g)
""Combo #1, no spice & light mild spice"",553,1230,530,58,10,0,115,3080,119,3,8,56
""Combo #1, mild-reaper spice"",570,1350,630,71,12,0,115,3630,125,3,9,56
""Combo #2, no spice & light mild spice"",660,1500,670,75,13,0,125,3340,143,3,17,68
""Combo #2, mild-reaper spice"",677,1620,780,87,15,0,125,3900,145,3,18,68
""Combo #3, no spice & light mild spice"",609,1370,600,67,12,0,120,3400,128,3,9,62
""Combo #3, mild-reaper spice"",625,1490,710,79,14,0,120,3950,130,3,9,62
"
"
Menu Item,Serving Size (g),Calories,Fat Calories,Total Fat (g),Sat Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugar (g),Protein (g)
Milkshake, chocolate, regular,458,610,420,47,27,0,135,280,46,0,43,13
Milkshake, chocolate, large,568,760,520,58,33,0,165,350,61,0,57,17
Milkshake, strawberry, regular,458,610,420,47,27,0,135,200,46,0,46,13
Milkshake, strawberry, large,568,760,520,58,33,0,165,250,61,0,61,17
Milkshake, vanilla, regular,458,590,420,47,27,0,135,200,43,0,43,13
Milkshake, vanilla, large,568,740,520,58,33,0,165,250,57,0,57,17
"
"
Menu Item,Serving Size (g),Calories,Fat Calories,Total Fat (g),Sat Fat (g),Trans Fat (g),Cholest (mg),Sodium (mg),Carb (g),Fiber (g),Sugar (g),Protein (g)
Mac & Cheese,215,290,140,16,8,0,40,1090,25,1,5,14
Kale Slaw,144,270,230,26,4.5,0,20,170,8,3,4,2
French Fries,170,440,180,20,3,0,0,1200,58,3,0,6
Cheese Fries,190,460,190,22,3.5,0,0,1330,60,3,0,6
Single Slider, no sides, no spice & light mild spice,249,620,330,37,7,0,70,1150,41,0,7,31
Single Slider, no sides, mild-reaper spice,257,680,390,43,8,0,70,1420,42,0,8,31
Single Tender, no sides, no spice & light mild spice,216,490,260,29,5,0,65,1210,30,0,3,25
Single Tender, no sides, mild-reaper spice,224,550,310,35,6,0,65,1480,31,0,3,25
Cheese slice,30,70,50,6,3.5,0,20,340,1,0,1,3
Dave's Sauce, individual cup,26,180,160,18,3,0,15,150,2,0,1,0
Ketchup packet,9,10,0,0,0,0,0,85,2,0,2,0
"
"
Menu Item,Serving Size,Calories,Fat Calories,Total Fat (g),Sat Fat (g),Trans Fat (g),Cholest (mg),Sodium (mg),Carb (g),Fiber (g),Sugar (g),Protein (g)
Cherry Coke,small,16 fl oz,270,0,0,0,0,65,76,0,0
Cherry Coke,regular,20 fl oz,210,0,0,0,0,75,88,0,0
Barq's Root Beer,regular,20 fl oz,310,0,0,0,0,59,0,0
Coke,small,16 fl oz,240,0,0,0,0,60,51,0,0
Coke,regular,20 fl oz,210,0,0,0,0,70,59,0,0
Coke Zero,regular,20 fl oz,0,0,0,0,0,75,0,0,0
Coke Zero,small,16 fl oz,0,0,0,0,0,85,0,0,0
Diet Coke,small,16 fl oz,0,0,0,0,0,55,0,0,0
Diet Coke,regular,20 fl oz,0,0,0,0,0,60,0,0,0
Dr. Pepper,small,20 fl oz,230,0,0,0,0,90,60,0,0
Dr. Pepper,regular,16 fl oz,200,0,0,0,0,80,52,0,0
Fanta Orange,small,20 fl oz,290,0,0,0,0,110,82,0,0
Fanta Orange,regular,16 fl oz,330,0,0,0,0,125,94,0,0
Gold Peak Iced Tea Sweetened,small,16 fl oz,150,0,0,0,0,35,39,0,0
Gold Peak Iced Tea Sweetened,regular,20 fl oz,180,0,0,0,0,40,44,0,0
Gold Peak Iced Tea Unsweetened,small,16 fl oz,0,0,0,0,0,45,0,0,0
Gold Peak Iced Tea Unsweetened,regular,20 fl oz,0,0,0,0,0,50,0,0,0
Gold Peak Peach Tea,small,16 fl oz,150,0,0,0,0,30,39,0,0
Gold Peak Peach Tea,regular,20 fl oz,180,0,0,0,0,35,44,0,0
Gold Peak Raspberry Tea,small,16 fl oz,160,0,0,0,0,45,41,0,0
Gold Peak Raspberry Tea,regular,20 fl oz,190,0,0,0,0,50,47,0,0
HI-C Poppin Pink Lemonade,small,16 fl oz,240,0,0,0,0,50,66,0,0
HI-C Poppin Pink Lemonade,regular,20 fl oz,280,0,0,0,0,200,28,0,0
POWERADE Mountain Berry Blast,small,20 fl oz,120,0,0,0,0,230,32,0,0
Sprite,small,16 fl oz,190,0,0,0,0,40,47,0,0
Sprite,regular,20 fl oz,220,0,0,0,0,55,0,0,0
Beer,USDA data,12 fl oz,100,0,0,0,0,14,0,0,0
Beer,Light USDA data,12 fl oz,110,0,0,0,0,14,1,0,0
Beer,higher alcohol,USDA data,12 fl oz,200,0,0,0,0,14,1,0,0
Hard Seltzer,12 fl oz,0,0,0,0,0,0,0,0,0,0
"
