Name, Calories (cal), Total Fat (g), Sat. Fat (g), Trans Fat (g), Cholesterol (mg), Sodium (mg), Carbohydrates (g), Dietary Fiber (g), Sugar (g), Protein (g)
'Add Goat Cheese', 170.0, 13.0, 9.0, 0.0, 30.0, 290.0, 0.0, 0.0, 0.0, 12.0
'Add Granola', 210.0, 12.0, 1.5, 0.0, 0.0, 25.0, 21.0, 2.0, 7.0, 5.0
'Add Ham - (3.5 oz)', 150.0, 8.0, 3.5, 0.0, 50.0, 1050.0, 5.0, 0.0, 5.0, 15.0
'Add Halloumi Cheese', 200.0, 15.0, 9.0, 0.0, 50.0, 610.0, 2.0, 0.0, 2.0, 13.0
'Add Jam', 90.0, 0.0, 0.0, 0.0, 0.0, 15.0, 23.0, 0.0, 22.0, 0.0
'Add Lamb Meatball - (2.4 oz)', 160.0, 12.0, 5.0, 0.0, 5.0, 320.0, 1.0, 0.0, 0.0, 11.0
'Add Maple Syrup', 110.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.0, 0.0, 24.0, 0.0
'Add Marinated Tuna - (3.5 oz)', 310.0, 23.5, 4.0, 0.0, 22.5, 160.0, 0.0, 0.0, 92.0
'Add Mayo', 190.0, 21.0, 3.0, 0.0, 10.0, 180.0, 0.0, 0.0, 0.0
'Add Mixed Pickled Vegetables', 45.0, 0.0, 0.0, 0.0, 0.0, 160.0, 7.0, 2.0, 4.0, 1.0
'Add Prosciutto - (1 oz)', 50.0, 3.0, 2.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 8.0
'Add Rice', 290.0, 7.0, 1.0, 0.0, 0.0, 720.0, 50.0, 0.0, 0.0, 4.0
'Add Roasted Salmon - (5 oz)', 300.0, 20.0, 2.5, 0.0, 74.5, 100.0, 0.0, 0.0, 0.0, 36.0
'Add Roll', 170.0, 4.0, 0.0, 0.0, 15.0, 670.0, 30.0, 1.0, 3.0, 4.0
'Add Short Rib - (3.5 oz)', 150.0, 3.5, 1.5, 0.0, 45.0, 480.0, 0.0, 0.0, 0.0, 16.0
'Add Smoked Salmon - (2 oz)', 70, 2.5, 0, 0, 30, 790, 0, 0, 0, 13
'Add Sliced Cucumber', 5.0, 0.0, 0.0, 0.0, 0.0, 140.0, 1.0, 0.0, 0.0, 0.0
'Add Sliced Tomato', 10.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0, 1, 0
'Add Spinach', 10, 0.5, 0, 0, 0, 10, 0, 0, 0
'Add Tomato Jam', 30, 0, 0, 0, 0, 390, 7, 1, 6, 1
'Add Tuna Salad (5 oz)', 330.0, 25.0, 9.0, 0.0, 55.0, 230.0, 4.0, 0.0, 2.0, 90.0
'Add Turkey - (2 oz)', 50.0, 0.5, 0.0, 0.0, 30.0, 410.0, 1.0, 0.0, 0.0, 11.0
'Dressing - Crunchy Halloumi Salad', 290.0, 31.0, 3.0, 0.0, 0.0, 230.0, 2.0, 0.0, 2.0, 0.0
'Dressing - Fattoush - Salad', 150.0, 16.0, 2.5, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.0
'Dressing - Green & Nutty Salad', 280.0, 27.0, 3.5, 0.0, 0.0, 220.0, 10.0, 0.0, 9.0, 0.0
'Dressing - Greens - with Feta Avocado Mousse', 140.0, 16.0, 2.5, 0.0, 0.0, 160.0, 2.0, 0.0, 0.0, 0.0
'Dressing - Maple - Squash & Chicken Salad', 110.0, 6.0, 4.5, 0.0, 20.0, 320.0, 13.0, 0.0, 11.0, 1.0
'Dressing - Tuna Nicoise Salad', 290.0, 33.0, 5.0, 0.0, 0.0, 840.0, 1.0, 0.0, 0.0, 0.0
'GF Chickpea & Fava Plate', 480, 34.5, 4.5, 0, 0, 1160, 40, 8, 6, 9
'GF Lamb Kebab Plate', 860.0, 59.0, 19.0, 0.0, 104.0, 1930.0, 58.0, 10.0, 15.0, 28.0
'GF Roasted Mushroom - Spinach & Potato Bowl', 760.0, 62.0, 31.5, 1.5, 348.5, 1140.0, 40.0, 4.0, 6.0, 15.0
'GF Crunchy Halloumi Salad', 1180.0, 96.5, 23.0, 0.0, 107.0, 1790.0, 49.0, 8.0, 24.0, 35.0
'GF Green & Nutty Salad', 950, 58.5, 14.5, 0, 28.5, 670, 86, 14, 57, 30
'GF Greens with Feta Avocado Mousse', 420.0, 34.5, 6.5, 0.0, 8.5, 700.0, 24.0, 4.0, 6.0, 7.0
'GF Maple - Squash & Chicken Salad', 580.0, 25.0, 6.0, 0.0, 90.5, 1060.0, 61.0, 9.0, 26.0, 32.0
'GF Tuna Nicoise Salad', 930.0, 73.5, 11.0, 0.0, 237.5, 1860.0, 40.0, 6.0, 8.0, 103.0
'GF Bacon - Potato & Mushroom Shakshuka', 1640.0, 143.5, 68.0, 3.0, 739.5, 2510.0, 62.0, 6.0, 14.0, 37.0
'GF Meatball Shakshuka', 980.0, 56.5, 19.5, 0, 532.0, 3130.0, 78.0, 5.0, 32.0, 41.0
'GF Traditional Shakshuka', 760.0, 40.0, 13.0, 0.0, 480.5, 2910.0, 73.0, 4.0, 29.0, 31.0
'Chicken And Kale - Bowl (GF)', 220.0, 11.5, 2.5, 0, 68.0, 1180.0, 18.0, 2.0, 3.0, 13.0
'Chicken And Kale - Cup (GF)', 180.0, 9.0, 1.5, 0.0, 45.5, 830.0, 16.0, 2.0, 2.0, 9.0
'Chicken Swiss Chard And Potato-Bowl - (GF)', 240.0, 12.0, 2.5, 0.0, 71.0, 1260.0, 21.0, 2.0, 4.0, 14.0
'Chicken Swiss Chard And Potato - Cup (GF)', 190.0, 9.0, 1.5, 0.0, 47.5, 880.0, 18.0, 1.0, 3.0, 10.0
'Potato Leek - Bowl (GF)', 180.0, 8.0, 1.0, 0.0, 0.0, 750.0, 28.0, 2.0, 3.0, 3.0
'Potato Leek - Cup (GF)', 150.0, 6.5, 0.5, 0.0, 0.0, 540.0, 23.0, 2.0, 2.0, 2.0
'Red Lentil - Bowl (GF)', 160.0, 5.5, 0.5, 0.0, 0.0, 400.0, 24.0, 2.0, 2.0, 5.0
'Red Lentil - Cup (GF)', 130.0, 5.0, 0.5, 0.0, 0.0, 310.0, 20.0, 2.0, 2.0, 4.0
'Tomato Basil - Bowl (GF)', 410.0, 27.0, 10.0, 0.5, 45.0, 1960.0, 36.0, 1.0, 18.0, 9.0
'Tomato Basil - Cup (GF)', 300.0, 19.0, 7.0, 0.5, 29.5, 1350.0, 28.0, 1.0, 13.0, 6.0
'GF Avocado Tartine', 510, 37.5, 6.5, 0, 430, 1410, 35, 6, 4, 16
'GF Smoked Salmon Avocado Tartine', 690.0, 57.5, 9.0, 0.0, 43.5, 1490.0, 35.0, 7.0, 5.0, 18.0
'Lubnet - Relish', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Broccolini - Lentil & Couscous Bowl', 570.0, 25.0, 0, 4.5, 0, 215.0, 1430.0, 62.0, 10.0, 15.0, 0, 24.0
'Cavatelli With Winter Vegetables', 730, 33.0, 16.5, 1.0, 68.5, 1520.0, 91.0, 16.0, 20.0
'Chickpea & Fava Plate', 640.0, 31.0, 4.0, 0.0, 0.0, 1350.0, 0.0, 74.0, 10.0, 0.0, 14.0
'Flatbread Slice - Mushroom - Caramelized Onion & Potato', 540.0, 24.0, 6.5, 0.0, 24.5, 1160.0, 66.0, 3.0, 9.0, 15.0, 0.0
'Flatbread Slice - Tomato Mozzarella', 660.0, 40.0, 9.5, 0.0, 21.5, 1160.0, 60.0, 2.0, 10.0, 16.0, 0.0
'Lamb Kebab Plate', 940.0, 52.0, 18.5, 0.0, 104.0, 1990.0, 80.0, 12.0, 18.0, 32.0
'Quiche Leek - Potato & Spinach & Salad', 900.0, 64.0, 37.0, 2.0, 253.5, 1030.0, 64.0, 5.0, 7.0, 18.0
'Quiche Lorraine & Salad', 1080.0, 79.0, 45.0, 2.0, 326.5, 1190.0, 64.0, 4.0, 8.0, 29.0
'Roasted Mushroom - Spinach & Potato Bowl', 860.0, 61.0, 32.0, 1.5, 348.5, 1350.0, 60.0, 5.0, 5.0, 19.0
'Roasted Salmon & Winter Vegetable Rice Bowl', 950, 58, 8, 0, 75, 1720, 74, 5, 2, 45
'Roasted Squash & Mushroom Farro Bowl', 820, 51.5, 14, 0, 249.5, 1790, 74, 7, 3, 25, 0
'Short Rib - Broccolini - Lentil & Couscous Bowl', 960.0, 26.0, 5.5, 0.0, 77.0, 2170.0, 106.0, 18.0, 26.0, 57.0
'Crunchy Halloumi Salad', 1180.0, 86.5, 22.0, 0.0, 120.0, 2320.0, 66.0, 9.0, 26.0, 38.0
'Fattoush Salad', 1050.0, 82.5, 19.0, 0.0, 81.0, 2000.0, 65.0, 7.0, 16.0, 21.0
'Green & Nutty Salad', 1050.0, 60.0, 15.0, 0.0, 42.0, 1210.0, 103.0, 15.0, 59.0, 33.0
'Greens with Feta Avocado Mousse', 500, 35, 7, 0, 21.5, 1230, 42, 5, 9, 10
'Maple - Squash & Chicken Salad', 670.0, 25.5, 6.5, 0.0, 103.5, 1590.0, 78.0, 9.0, 28.0, 35.0
'Tuna Nicoise Salad', 1020.0, 75.0, 11.5, 0.0, 251.0, 2390.0, 56.0, 6.0, 9.0, 106.0
'BLAT', 870.0, 55.0, 10.5, 0.0, 83.5, 1650.0, 73.0, 7.0, 11.0, 25.0
'Chicken Pita Sandwich', 480.0, 13.0, 3.0, 0.0, 84.0, 670.0, 51.0, 4.0, 8.0, 31.0
'Chicken Salad Sandwich', 860.0, 43.5, 10.5, 0, 120.5, 1460.0, 75.0, 7.0, 14.0, 40.0
'Fresh Mozzarella Sandwich', 940.0, 51.0, 15.5, 0.0, 50.5, 1520.0, 82.0, 5.0, 4.0, 32.0
'Grilled Cheese', 850.0, 43.0, 23.5, 0.0, 131.0, 2120.0, 70.0, 3.0, 2.0, 35.0
'Kids Sandwich', 430.0, 16.5, 4.0, 0.0, 43.5, 710.0, 64.0, 3.0, 7.0, 12.0
'Lamb Kebab Pita', 670.0, 34.0, 16.5, 0.0, 119.5, 1150.0, 53.0, 4.0, 9.0, 30.0
'Prosciutto Panini Sandwich', 990, 37, 19.5, 0, 127.5, 1570, 81, 5, 31, 46
'Roasted Cauliflower Sandwich', 520.0, 22.5, 5.5, 0, 15.5, 1830.0, 67.0, 9.0, 16.0, 13.0
'Roasted Salmon Sandwich', 1010.0, 68.0, 9.5, 0.0, 120.0, 1070.0, 67.0, 3.0, 9.0, 46.0
'Roasted Squash & Mushroom Sandwich', 780.0, 18.5, 2.5, 0, 0, 1850.0, 128.0, 12.0, 28.0, 23.0
'Short Rib Grilled Cheese Sandwich', 640.0, 20.5, 5.5, 0.0, 100.5, 1480.0, 68.0, 3.0, 10.0, 32.0
'Tuna Sandwich', 870.0, 49.0, 17.5, 0.0, 323.0, 990.0, 70.0, 3.0, 10.0, 106.0
'Turkey Avocado Sandwich', 740.0, 41.0, 7.5, 0.0, 81.5, 1460.0, 76.0, 10.0, 9.0, 23.0
'Turkey BLAT', 850.0, 48.0, 8.5, 0.0, 62.0, 1770.0, 73.0, 12.0, 8.0, 32.0
'Bacon - Potato & Mushroom Shakshuka', 1830, 139, 68.5, 3, 739.5, 2940, 103, 8, 12, 46
'Meatball Shakshuka', 1230.0, 58.0, 20.0, 0.0, 575.0, 3600.0, 130.0, 7.0, 38.0, 50.0
'Traditional Shakshuka', 1010.0, 41.0, 13.5, 0.0, 523.5, 3380.0, 125.0, 6.0, 35.0, 40.0
'Carrot - Bowl', 310.0, 11.5, 5.0, 0.5, 31.5, 2050.0, 49.0, 6.0, 14.0, 6.0
'Carrot-Cup -', 260.0, 9.0, 3.5, 0.0, 25.5, 1590.0, 43.0, 4.0, 10.0, 5.0
'Chicken & Pea - Bowl', 340.0, 12.5, 2.5, 0, 87.0, 1460.0, 39.0, 4.0, 6.0, 18.0
'Chicken & Pea - Cup', 280, 9.5, 2, 0, 62.5, 1200, 36, 3, 5, 13
'Chicken And Kale - Bowl', 310.0, 12.0, 2.5, 0.0, 81.5, 1710.0, 36.0, 3.0, 5.0, 16.0
'Chicken And Kale - Cup', 260.0, 9.5, 2.0, 0.0, 58.5, 1370.0, 34.0, 2.0, 5.0, 12.0
'Chicken Swiss Chard And Potato-Bowl -', 330.0, 12.5, 2.5, 0.0, 84.5, 1790.0, 38.0, 3.0, 6.0, 17.0
'Chicken Swiss Chard And Potato - Cup', 270.0, 9.5, 2.0, 0.0, 60.5, 1420.0, 35.0, 2.0, 5.0, 13.0
'Mushroom And Farro - Bowl', 260.0, 7.0, 1.0, 0.0, 13.0, 1290.0, 44.0, 3.0, 5.0, 7.0
'Mushroom And Farro - Cup', 230.0, 6.0, 0.5, 0.0, 13.0, 1080.0, 39.0, 3.0, 5.0, 6.0
'Potato Leek - Bowl', 270.0, 8.0, 1.0, 0.0, 13.0, 1280.0, 46.0, 3.0, 5.0, 6.0
'Potato Leek - Cup', 240.0, 7.0, 1.0, 0.0, 13.0, 1080.0, 40.0, 3.0, 5.0, 5.0
'Red Lentil - Bowl', 250.0, 6.0, 0.5, 0.0, 13.0, 930.0, 42.0, 3.0, 4.0, 8.0
'Red Lentil - Cup', 220.0, 5.5, 0.5, 0, 13.0, 850.0, 38.0, 3.0, 4.0, 7.0
'Sweet Potato - Bowl', 320.0, 10.5, 4.0, 0.5, 29.0, 1360.0, 53.0, 4.0, 12.0, 6.0
'Sweet Potato - Cup', 270.0, 8.5, 3.0, 0.0, 23.5, 1130.0, 45.0, 3.0, 9.0, 5.0
'Tomato Basil - Bowl', 490.0, 27.0, 10.0, 0.5, 60.0, 2490.0, 54.0, 2.0, 21.0, 12.0
'Tomato Basil - Cup', 380.0, 19.5, 7.0, 0.5, 43.0, 1880.0, 46.0, 2.0, 15.0, 10.0
'Avocado Tartine', 670.0, 29.0, 6.0, 0.0, 430.0, 1830.0, 75.0, 8.0, 2.0, 26.0
'Prosciutto & Fried Egg Tartine', 660, 42.5, 17, 0, 301, 910, 37, 2, 3, 32
'Prosciutto - Squash & Pomegranate Tartine', 420.0, 9.5, 3.5, 0, 25.0, 850.0, 66.0, 4.0, 18.0, 16.0
'Smoked Salmon Avocado Tartine', 740.0, 55.5, 9.5, 0, 43.5, 1570.0, 45.0, 9.0, 3.0, 22.0
'6" Cheesecake - Blue Fruit (8 slices)', 390.0, 30.0, 18.5, 1.0, 92.0, 170.0, 27.0, 1.0, 16.0, 5.0
'6" Cheesecake - Crumb (8 slices)', 450.0, 34.0, 21.5, 1.0, 104.0, 240.0, 32.0, 0.0, 16.0, 6.0
'6" Cheesecake - Red Fruit (8 slices)', 390.0, 30.0, 18.5, 1.0, 92.0, 170.0, 28.0, 2.0, 16.0, 5.0
'6" Dark Chocolate Mousse - (8 slices)', 440.0, 33.0, 20.0, 0.5, 124.0, 80.0, 27.0, 0.0, 20.0, 7.0
'6" Pistachio Crush - (8 slices)', 490.0, 42.0, 20.0, 1.0, 88.5, 60.0, 25.0, 3.0, 19.0, 8.0
'6" Tart - Lemon Mint (8 slices)', 600.0, 45.0, 27.5, 2.0, 180.5, 85.0, 47.0, 0.0, 37.0, 5.0
'6" Tart - Pear (8 slices)', 420.0, 26.0, 11.0, 0.5, 77.5, 160.0, 43.0, 3.0, 29.0, 4.0
'6" Tiramisu - (8 slices)', 200.0, 11.0, 7.0, 0.0, 66.5, 50.0, 21.0, 0.0, 15.0, 5.0
'8" Halva Bomb - (12 slices)', 640.0, 49.0, 28.5, 1.0, 75.5, 125.0, 40.0, 0, 27.0, 7.0
'9" Cake - Belgian Chocolate Mousse (16 slices)', 570.0, 43.5, 27.0, 1.0, 72.0, 100.0, 37.0, 0.0, 10.0, 6.0
'9" Cake - Dark Chocolate Mousse (12 slices)', 540.0, 40.5, 24.5, 1.0, 147.0, 100.0, 33.0, 0.0, 24.0, 8.0
'9" Cake - Honey Apple (8 slices)', 510.0, 25.0, 6.5, 0.5, 58.5, 220.0, 67.0, 4.0, 32.0, 8.0
'9" Cheesecake - Blue Fruit (12 slices)', 490.0, 38.0, 23.5, 1.0, 116.5, 230.0, 35.0, 2.0, 20.0, 6.0
'9" Cheesecake - Crumbs (12 slices)', 550.0, 41.5, 26.0, 1.0, 127.5, 290.0, 39.0, 0, 20.0, 7.0
'9" Cheesecake - Red Fruit (12 slices)', 500.0, 38.0, 23.5, 1.0, 116.5, 230.0, 37.0, 3.0, 20.0, 6.0
'9" Pistachio Crush - (12 slices)', 700, 59, 29.5, 1.5, 132, 100, 38, 4, 30, 10
'9" Tart - Lemon Mint (12 slices)', 590.0, 42.5, 26.0, 1.5, 170.5, 100.0, 50.0, 0, 36.0, 5.0
'9" Tart - Pear (12 slices)', 360.0, 19.5, 9.5, 0.5, 67.5, 135.0, 43.0, 2.0, 26.0, 4.0
'9" Tiramisu - (12 slices)', 320.0, 17.5, 12.0, 0.0, 106.5, 80.0, 32.0, 0.0, 24.0, 8.0
'Cake - Coffee (12 slices)', 660.0, 36.0, 16.0, 0.5, 115.5, 490.0, 76.0, 3.0, 42.0, 10.0
'Pie - Apple (6 slices)', 530.0, 17.5, 11.0, 0.5, 46.5, 360.0, 92.0, 4.0, 61.0, 3.0
'Pie - Pistachio Cherry - (9 slices)', 480.0, 30.0, 15.0, 1.0, 89.5, 190.0, 50.0, 3.0, 22.0, 7.0
'Pie - Salted Honey Hazelnut Pecan (8 slices)', 680.0, 45.5, 18.0, 1.0, 120.5, 380.0, 67.0, 4.0, 42.0, 8.0
'Pie - Pumpkin with Candied Walnuts (8 slices)', 370.0, 18.5, 9.0, 0.5, 106.0, 270.0, 47.0, 2.0, 26.0, 7.0
'Pound Cake - Gingerbread (10 slices)', 610.0, 24.0, 14.5, 1.0, 167.5, 280.0, 96.0, 2.0, 66.0, 8.0
'Pound Cake - Pumpkin (10 slices)', 650.0, 28.0, 15.0, 1.0, 165.0, 250.0, 91.0, 3.0, 61.0, 12.0
'Tart - Almond - Long (8 slices)', 770.0, 59.5, 9.0, 0.5, 54.0, 125.0, 49.0, 9.0, 16.0, 20.0
'Tart - Mixed Nut - Long (8 slices)', 790.0, 61.5, 18.0, 1.0, 74.0, 160.0, 57.0, 6.0, 27.0, 14.0
'Tart - Pecan - Long (8 slices)', 790.0, 69.5, 14.0, 0.5, 54.0, 110.0, 42.0, 8.0, 16.0, 10.0
